星期 ,日期,队伍1,让分,预期胜率,得分,队伍2,让分2,预期胜率,得分2,分差,是否穿盘
Saturday, Jan. 20,Mavericks , ,0.28,108,Trail Blazers ,-6,0.72,117,9,YES
Friday, Jan. 19,Spurs , ,0.29,83,Raptors ,-5.5,0.71,86,3,NO
Friday, Jan. 19,Nets , ,0.45,101,Heat ,-1.5,0.55,95,-6,NO
Friday, Jan. 19,Kings , ,0.22,88,Grizzlies ,-8,0.78,106,18,YES
Friday, Jan. 19,Wizards , ,0.38,122,Pistons ,-3,0.62,112,-10,NO
Friday, Jan. 19,Suns , ,0.15,108,Nuggets ,-10.5,0.85,100,-8,NO
Friday, Jan. 19,Pacers , ,0.46,86,Lakers ,-1,0.54,99,13,YES
Friday, Jan. 19,Knicks , ,0.26,117,Jazz ,-6.5,0.74,115,-2,NO
Thursday, Jan. 18,Magic , ,0.14,103,Cavaliers ,-11,0.86,104,1,NO
Thursday, Jan. 18,76ers , ,0.26,89,Celtics ,-6.5,0.74,80,-9,NO
Thursday, Jan. 18,T'wolves, ,0.33,98,Rockets ,-4.5,0.67,116,18,YES
Thursday, Jan. 18,Pacers , ,0.37,86,Trail Blazers ,-3.5,0.63,100,14,YES
Wednesday, Jan. 17,Wizards , ,0.38,109,Hornets ,-3,0.62,133,24,YES
Wednesday, Jan. 17,Pistons , ,0.19,91,Raptors ,-9,0.81,96,5,NO
Wednesday, Jan. 17,Hawks , ,0.46,94,Pelicans ,-1,0.54,93,-1,NO
Wednesday, Jan. 17,Nets , ,0.36,95,Spurs ,-3.5,0.64,100,5,YES
Wednesday, Jan. 17,Bulls , ,0.22,112,Warriors ,-7.5,0.78,119,7,NO
Wednesday, Jan. 17,Lakers , ,0.15,90,Thunder ,-10.5,0.85,114,24,YES
Wednesday, Jan. 17,Heat , ,0.37,106,Bucks ,-3.5,0.63,101,-5,NO
Wednesday, Jan. 17,Knicks , ,0.39,99,Grizzlies ,-2.5,0.61,105,6,YES
Wednesday, Jan. 17,Kings , ,0.4,105,Jazz ,-2.5,0.6,120,15,YES
Wednesday, Jan. 17,Nuggets , ,0.26,104,Clippers ,-6.5,0.74,109,5,NO
Tuesday, Jan. 16,Magic , ,0.25,108,T'wolves,-6.5,0.75,102,-6,NO
Tuesday, Jan. 16,Pelicans , ,0.28,116,Celtics ,-6,0.72,113,-3,NO
Tuesday, Jan. 16,Mavericks , ,0.23,102,Nuggets ,-7.5,0.77,105,3,NO
Tuesday, Jan. 16,Suns , ,0.21,111,Trail Blazers ,-8,0.79,118,7,NO
Monday, Jan. 15,Hornets , ,0.34,118,Pistons ,-4,0.66,107,-11,NO
Monday, Jan. 15,76ers , ,0.42,117,Raptors ,-2,0.58,111,-6,NO
Monday, Jan. 15,Bucks , ,0.25,104,Wizards ,-6.5,0.75,95,-9,NO
Monday, Jan. 15,Knicks , ,0.33,119,Nets ,-4.5,0.67,104,-15,NO
Monday, Jan. 15,Hawks , ,0.32,102,Spurs ,-4.5,0.68,99,-3,NO
Monday, Jan. 15,Heat , ,0.43,111,Bulls ,-2,0.57,119,8,YES
Monday, Jan. 15,Lakers , ,0.36,114,Grizzlies ,-3.5,0.64,123,9,YES
Monday, Jan. 15,Cavaliers , ,0.41,108,Warriors ,-2,0.59,118,10,YES
Monday, Jan. 15,Kings , ,0.11,88,Thunder ,-13,0.89,95,7,NO
Monday, Jan. 15,Pacers , ,0.26,109,Jazz ,-6.5,0.74,94,-15,NO
Monday, Jan. 15,Clippers , ,0.48,113,Rockets ,-0.5,0.52,102,-11,NO
Sunday, Jan. 14,Bucks , ,0.36,79,Heat ,-3.5,0.64,97,18,YES
Sunday, Jan. 14,Pelicans , PK,0.5,123,Knicks ,0,0.5,118,-5,NO
Sunday, Jan. 14,Pacers , ,0.46,120,Suns ,-1,0.54,97,-23,NO
Sunday, Jan. 14,Trail Blazers , ,0.22,103,T'wolves,-7.5,0.78,120,17,YES
Saturday, Jan. 13,Lakers , ,0.27,107,Mavericks ,-6,0.73,101,-6,NO
Saturday, Jan. 13,Kings , ,0.14,105,Clippers ,-11,0.86,126,21,YES
Saturday, Jan. 13,Hornets , ,0.47,91,Thunder ,-0.5,0.53,101,10,YES
Saturday, Jan. 13,Nets , ,0.22,113,Wizards ,-7.5,0.78,119,6,NO
Saturday, Jan. 13,Warriors , ,0.39,127,Raptors ,-3,0.61,125,-2,NO
Saturday, Jan. 13,Bulls , ,0.49,107,Pistons ,0,0.51,105,-2,NO
Saturday, Jan. 13,Nuggets , ,0.25,80,Spurs ,-7,0.75,112,32,YES
Friday, Jan. 12,Cavaliers , ,0.45,95,Pacers ,-1,0.55,97,2,YES
Friday, Jan. 12,Magic , ,0.17,119,Wizards ,-10,0.83,125,6,NO
Friday, Jan. 12,Jazz , ,0.38,88,Hornets ,-3,0.62,99,11,YES
Friday, Jan. 12,Nets , ,0.41,110,Hawks ,-2,0.59,105,-5,NO
Friday, Jan. 12,Bucks , ,0.36,94,Warriors ,-3.5,0.64,108,14,YES
Friday, Jan. 12,Knicks , ,0.16,108,T'wolves,-10.5,0.84,118,10,NO
Friday, Jan. 12,Trail Blazers , ,0.37,113,Pelicans ,-3.5,0.63,119,6,YES
Friday, Jan. 12,Grizzlies , ,0.19,78,Nuggets ,-9,0.81,87,9,NO
Friday, Jan. 12,Suns , ,0.29,95,Rockets ,-5.5,0.71,112,17,YES
Thursday, Jan. 11,76ers , ,0.38,103,Celtics ,-3,0.62,114,11,YES
Thursday, Jan. 11,Cavaliers , ,0.29,99,Raptors ,-5.5,0.71,133,34,YES
Thursday, Jan. 11,Kings , ,0.39,115,Clippers ,-2.5,0.61,121,6,YES
Thursday, Jan. 11,Lakers , ,0.31,93,Spurs ,-5,0.69,81,-12,NO
Wednesday, Jan. 10,Mavericks , ,0.26,115,Hornets ,-6.5,0.74,111,-4,NO
Wednesday, Jan. 10,Heat , ,0.31,114,Pacers ,-5,0.69,106,-8,NO
Wednesday, Jan. 10,Jazz , ,0.31,107,Wizards ,-5,0.69,104,-3,NO
Wednesday, Jan. 10,Bulls , ,0.32,122,Knicks ,-4.5,0.68,119,-3,NO
Wednesday, Jan. 10,Pistons , ,0.43,114,Nets ,-1.5,0.57,80,-34,NO
