时间,主队,客队,主队得分,客队得分,上半场主队得分,上半场客队得分,让分,总分盘
2017-12-27 18:00,高阳猎户座,首尔三星雷电,85,63,39,37,-1.5,167.5
2017-12-28 18:00,仁川黑色撞击者,全州宙斯盾,77,81,38,35,-1,167.5
2017-12-28 18:00,首尔SK骑士,安养人参,83,99,35,43,-1.5,165.5
2017-12-29 18:00,高阳猎户座,蔚山现代太阳神,80,87,41,43,-6,163.5
2017-12-30 14:00,仁川黑色撞击者,原州东浦新世代,75,61,36,29,-3.5,160.5
2017-12-30 14:00,首尔SK骑士,釜山KTF魔翼,84,63,40,31,8,169
2017-12-30 16:00,全州宙斯盾,首尔三星雷电,79,71,37,37,8,164
2017-12-31 14:00,蔚山现代太阳神,安养人参,88,85,44,39,-2,162.5
2017-12-31 16:00,仁川黑色撞击者,昌原LG猎隼,98,96,51,36,5.5,156.5
2017-12-31 20:50,首尔SK骑士,高阳猎户座,79,70,41,42,7.5,168.5
2018-01-01 14:00,原州东浦新世代,全州宙斯盾,79,70,32,42,1.5,162.5
2018-01-01 14:00,釜山KTF魔翼,蔚山现代太阳神,89,90,46,51,-5.5,163.5
2018-01-01 16:00,首尔三星雷电,昌原LG猎隼,81,78,44,36,1.5,159.5
2018-01-03 18:00,蔚山现代太阳神,原州东浦新世代,78,81,36,51,2.5,160.5
2018-01-03 18:00,安养人参,釜山KTF魔翼,95,82,38,49,10,164.5
2018-01-04 18:00,高阳猎户座,昌原LG猎隼,95,82,47,42,-2,160.5
2018-01-04 18:00,仁川黑色撞击者,首尔三星雷电,93,89,35,37,5,161.5
2018-01-05 18:00,首尔SK骑士,原州东浦新世代,85,91,39,40,2.5,164.5
2018-01-05 18:00,全州宙斯盾,安养人参,81,71,39,43,-1,168.5
2018-01-06 14:00,昌原LG猎隼,釜山KTF魔翼,82,70,43,27,4.5,162
2018-01-06 14:00,高阳猎户座,仁川黑色撞击者,76,89,38,51,-4.5,166
2018-01-06 16:00,首尔三星雷电,蔚山现代太阳神,67,97,25,48,-5.5,162
2018-01-07 14:00,釜山KTF魔翼,原州东浦新世代,86,97,45,49,-7.5,165.5
2018-01-07 14:00,首尔SK骑士,全州宙斯盾,86,61,45,27,4.5,165.5
2018-01-07 16:00,安养人参,昌原LG猎隼,87,68,42,29,6.5,164.5
2018-01-09 18:00,仁川黑色撞击者,首尔SK骑士,77,98,39,42,-1,163.5
2018-01-09 18:00,蔚山现代太阳神,全州宙斯盾,60,71,32,33,6.5,163.5
2018-01-10 18:00,首尔三星雷电,釜山KTF魔翼,96,97,43,36,7,165.5
2018-01-10 18:00,昌原LG猎隼,原州东浦新世代,69,73,32,40,-5,161.5
2018-01-11 18:00,首尔SK骑士,蔚山现代太阳神,92,98,51,48,2.5,164.5
2018-01-11 18:00,仁川黑色撞击者,安养人参,87,100,45,55,-1,164.5
2018-01-11 18:00,高阳猎户座,全州宙斯盾,77,79,34,41,-4,164.5
2018-01-16 18:00,原州东浦新世代,安养人参,92,89,48,34,-1,163.5
2018-01-16 18:00,首尔三星雷电,首尔SK骑士,90,97,41,41,-1,165
2018-01-17 18:00,釜山KTF魔翼,仁川黑色撞击者,83,92,53,40,-6,164.5
2018-01-17 18:00,昌原LG猎隼,全州宙斯盾,71,91,35,54,-4.5,161
2018-01-18 18:00,原州东浦新世代,高阳猎户座,77,69,40,27,7,167.5
2018-01-18 18:00,安养人参,首尔三星雷电,92,96,39,45,5.5,167
